מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד
118067-אחמד סאמח אלחלדי,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ווסים רישק,3,60,0,0.0
118125-טור מכין לבנים,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,כאלד ראשיד,2,43,0,0.0
118133-טור מכין לבנות,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,מנאל פתיאני,3,90,67,1.5
118158-איבן אל-היית'ם,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,אסאמה סביטאני,7,157,0,0.0
118208-סלואן מכין לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,פאטמה פתיחה,3,72,8,1.3
118240-צור באהר מכין,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,עארף אבו חאמד,3,96,94,12.0
118281-שעפט לבנות א,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,סוזאן כטיב,4,104,0,0.0
118299-אלתורי לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,מהא סלמן,4,101,47,4.1
118307-עמריה,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,נפיסה סעידה,3,47,28,2.9
118331-מולויה לבנות,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,מוראד חמודה,2,47,34,2.8
118364-איברהמיה,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,נהאד נאסר,3,106,0,0.0
140012-אולפנא תורנית חורב,ירושלים,העיר ירושלים,יהודי,שרה טוויל,עודד עוזיאל מיזליש,5,133,114,8.2
140038-עירוני דתי רוטשילד,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,שולמית אייזקס,2,48,35,6.7
140046-עירוני ג',ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,רננה אורון,3,44,19,4.3
140053-אקדמיה למוסיקה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אילנה אוריצקי,2,43,38,1.6
140061-תכון ליד האוניברסיטה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,7,176,140,6.6
140079-הגמנסיה העברית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עופר טס,6,142,39,11.8
140087-רנה קסין דרכא,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,שגיא כהן,4,88,1,6.0
"140103-תיכון ע""ש בויאר",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,דפנה מנשה-ברוך,3,100,88,6.3
140129-קרית נוער ירושלים,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,אביחי חרזי,4,83,0,0.0
140137-ישיבת נתיב מאיר,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,משה מאיר וייס,3,55,3,3.7
140145-ישיבת חורב,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,יצחק דור,4,96,1,2.0
"140186-תורני ע""ש פ. הימלפרב",ירושלים,העיר ירושלים,יהודי,אריה משה מארק,שלמה דנינו,5,131,93,3.4
140202-עתיד שחר בית שמש,בית שמש,ירושלים,יהודי,תמר אודס,אלינור ביטון,3,58,45,38.9
140236-תורני נסויי בנות פלך,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,יעל-סופי פפר,4,102,42,2.5
140277-מדרשיית עמליה,ירושלים,העיר ירושלים,יהודי,שרה טוויל,יעל פרגון,2,41,14,5.7
140491-אולפנת צביה ירושלים,ירושלים,העיר ירושלים,יהודי,שרה טוויל,עירית הלוי,1,32,28,3.3
140665-אולפנא לבנות,קרית ארבע,ירושלים,יהודי,יעקב עמר,שילה דגנית הלוי,4,77,71,3.6
"140723-מקיף ע""ש זיו",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אורן לאלו,6,174,132,4.4
140731-מקיף גילה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אייל רייכמן,3,57,41,15.7
140806-תיכון לאומנויות,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תומר בליטי דגן,4,92,55,2.1
"140855-חט""ב מבשרת",מבשרת ציון,ירושלים,יהודי,ציפי יעקב,גליה שניידר,9,261,205,11.2
140863-עמל דקל וילנאי,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,דינה זייצב,7,178,126,9.8
140871-תיכון גבעת גונן,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אוהד הופמן,3,57,34,1.8
"140889-חט""ב בנים קרית ארבע",קרית ארבע,ירושלים,יהודי,יעקב עמר,מנחם סעדיה,3,72,56,17.8
"140939-ישיבת בנ""ע מטה בנימין",מטה בנימין,ירושלים,יהודי,יעקב עמר,נסים ניצן ימין,4,83,3,2.0
140962-עירוני מסורתי,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,יאיר אלברטון,3,50,47,12.3
140970-אולפנא עופרה,מטה בנימין,ירושלים,יהודי,יעקב עמר,אביה זאב ששר,7,136,107,5.0
"141002-חט""ב יצחק רבין",גבעת זאב,ירושלים,יהודי,ציפי יעקב,מזל רחל שמש,1,27,24,9.7
141010-חטב מכללת אורט גבעת רם ירושלים,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,מיכל דלאל,3,67,55,6.3
141168-תורני לבנות ב.שולמית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,אמיתי יצחק שחור,1,36,17,11.2
141176-אולפנת צביה מ. אדומים,מעלה אדומים,ירושלים,יהודי,יעקב עמר,שלמה נריה ירושלים,3,74,48,6.6
141309-עירוני פסגת זאב,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,סוניה רפאלי,4,77,70,32.0
141390-מדרשיית עלמא אמונה,ירושלים,העיר ירושלים,יהודי,שרה טוויל,הדס גודמן,3,91,39,6.0
141499-אור תורה סטון לבנים,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,יהונתן יפת,3,46,28,3.5
141549-אור תורה סטון לבנות,ירושלים,העיר ירושלים,יהודי,שרה טוויל,חנה עסיס,4,131,98,6.5
141754-ישיבה תיכ' תורה ומדע,ירושלים,העיר ירושלים,יהודי,שרה טוויל,רפאל עמיחי בובליל,1,33,33,5.2
143404-אהל שילה בנים,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,רפאל ממן,2,61,26,16.0
144097-המרכז הישראלי למצוינות בחינוך,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נועה שפי,2,56,56,8.1
144220-תורני נסויי הרטמן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,שאול דוד,3,67,54,4.7
144329-תיכון מכבים רעות,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,רוני אהרון פולט,7,181,171,10.2
144428-ישיבת צביה מ.אדומים,מעלה אדומים,ירושלים,יהודי,יעקב עמר,יוסף מנחם פרנקל,3,66,53,6.0
144592-קדמה ירושלים,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,מיכל חדאד,1,18,13,1.0
144600-ישיבה שעלי תורה,בית שמש,ירושלים,יהודי,תמר אודס,תומר זאבי,4,92,68,6.2
144626-תבל גבעה צרפתית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נחמה נשי נפתלי,2,32,23,5.2
"144675-ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,רבקה ריקי נגרי,6,198,181,11.9
144683-עירוני א',מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,דביר שלומי,7,234,217,11.5
144691-ישיבת נעם,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,אבישי סגל,4,80,1,1.0
"144717-אולפנת בנ""ע אורות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,סגלית נחום,5,131,64,4.6
"144741-ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,שרית סנואני,6,184,163,7.8
"144758-ישיבת בנ""ע פסגת זאב",ירושלים,העיר ירושלים,יהודי,שרה טוויל,רענן-יוסף שרמן,2,45,19,3.5
"144766-ישיבת בנ""ע נר תמיד חשמונאים",מטה בנימין,ירושלים,יהודי,תמר אודס,איתמר ליברמן,4,102,61,11.2
148056-תיכון בית צפאפא,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,האשם בדר,8,190,59,12.8
148080-מקיף אבו גוש,אבו גוש,ירושלים,ערבי,ציפי יעקב,ווגיהה איברהים,4,78,68,8.2
148155-תיכון שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,נאדר נירוך,6,192,188,7.6
148189-טרה סנטה גבשה בנים,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,איברהים פלתס,2,42,0,0.0
148197-מקיף בית חנינה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מגדי עוויסאת,5,130,0,0.0
148247-מקיף שש שנתי אלטור לבנים,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מוחמד דעיס,6,146,40,2.5
148254-שועפט בנות ב',ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,מיסון חלאק,4,114,23,2.9
148262-אלעלא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,סלאם עיד,2,52,0,0.0
148288-כפר עקב,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,אוסאמה טוטח,3,119,2,1.5
160242-מקיף קשת,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אורית צילה סומר,3,67,51,6.8
160259-ליבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ענבל ישראלי,3,57,32,3.2
160416-רעות קהילה דתית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עמיעד יעקב מלצר,5,108,89,18.8
160432-ברנקו וייס מקיף בית שמש,בית שמש,ירושלים,יהודי,ציפי יעקב,שמעון ויס,7,159,127,7.2
160473-אלוואדי למצוינות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,עבדלרחמן אחסין,3,83,43,3.3
"160549-אמי""ת איתן",מעלה אדומים,ירושלים,יהודי,יעקב עמר,שלמה אליהו דהן,4,85,38,13.4
160598-ארץ הצבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,יוסף איזמן,2,32,4,1.3
160739-מנזר רוזרי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,הודה קיקיה,3,120,0,0.0
"165852-ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,שמואל חיים רוזנבלום,7,198,165,4.6
168021-צור באהר בנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,הנאדי יעיש,2,40,0,0.0
168419-אולפנת צביה יצירתית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,צפורה כהן,3,71,34,3.7
170043-תיכון שחרית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,רני חזון וייס,3,50,47,5.3
"170092-קשת ראם ע""ש אליס סליגסברג",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גלית חזיזה קמיניץ,4,82,16,1.1
170399-חטיב אורט מינקןף,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תמר כספי,6,182,12,1.1
170514-אורט פלך בנים ספניאן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,דורון לופז,4,90,30,1.7
170803-עמל תעופה וחלל,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,יהודית אילוק,7,184,139,7.9
178137-אמירה בסמא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,שירין סעיד,2,39,0,0.0
178178-סאחורה מכין בנות,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,אמאל אשקיראת,7,185,143,2.8
178194-על יסודי אלחית כפר עקב,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,עיסא נאסר,2,83,0,0.0
179754-כפר עקב חדש,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,אמאני פלאח,3,85,81,5.5
184010-פריר בית חנינא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,גורג נבר,3,107,0,0.0
186395-ראשית,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,שרה אבישי,2,51,15,4.0
186908-אולפנא בני עקיבא נריה,מטה בנימין,ירושלים,יהודי,תמר אודס,יניב כהן,6,111,84,4.3
187575-ביס שמידט קולג' בנות,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,דיתריש בוימר,2,36,0,0.0
"188086-דמוקרטי ע""ש נדב",מודיעין מכבים רעות,ירושלים,יהודי,טל כהן,מירב ניר הוד,1,34,0,0.0
"192997-חט""ב עיסוויה בנים",ירושלים,העיר ירושלים,ערבי,ענאן קאסם,חדר עביד,5,153,72,2.8
193003-מקיף עיסוואיה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,פאטמה עבידאת,6,148,55,6.5
193185-אולפנת שעלי תורה,בית שמש,ירושלים,יהודי,תמר אודס,אלעד בן אליהו,4,87,47,3.0
"198085-חט""ב ראס אל-עמוד",ירושלים,העיר ירושלים,ערבי,רנה ח'לף,סאלח סאלח,6,135,0,0.0
198192-תיכון צור באהר,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,היתאם סלאמה,6,130,28,2.8
237354-תיכון יחד,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,שגיב אלבז,4,136,134,14.5
238121-אולפנת נוגה,מטה יהודה,ירושלים,יהודי,תמר אודס,מרים לאה קורן,5,131,98,10.4
238493-יסודי אלאימאן לבנים,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,השאם בצבוצ,1,20,0,0.0
238501-יסודי אלאימאן בנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,מדלין חמורי,2,58,0,0.0
239871-סמהר לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אמאל טחאן,3,106,14,1.4
239905-ג'רוזלם סקול יסודי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מג'ד רביע,2,64,0,0.0
246041-אהבת ישראל,ירושלים,העיר ירושלים,יהודי,שירה יזדי,סיון דוד,1,27,23,4.5
247411-תיכון סנט טרקמנצ'ץ,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,נארק אברהמיאן,1,8,0,0.0
267930-אלמוסתקבל אלאהלייה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ענאיה אבו סנינה,1,29,0,0.0
"267955-ביה""ס אמליסון",ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,וסים עלי,1,22,0,0.0
338343-יסודי דאר אלאולאד,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,אוסאמה מושעשע,1,22,0,0.0
338418-עתיד דביר בנים,בית שמש,ירושלים,יהודי,תמר אודס,אברהם שושן,4,79,60,23.5
338434-ברידג' אינטרנשיונל,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,שירין שחאדה,1,16,0,0.0
338483-אבו חאמד אלגזאלי,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,שירין אבראהים,2,31,0,0.0
"338509-חט""ב לבונה",בית אריה,ירושלים,יהודי,ציפי יעקב,חן בן שמעון,4,76,69,6.3
338533-שדא אלוורד,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,סרין סאפי,1,16,0,0.0
"338616-שש שנתי אמי""ת בנות",מעלה אדומים,ירושלים,יהודי,יעקב עמר,רונית תשובה,4,77,22,1.8
343970-על יסודי מאר מטרי,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ארגס עאסי,1,14,0,0.0
344911-אורט עירוני ד,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,צופית חדד,7,205,199,18.3
346494-תיכון יד ביד,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,דניאל עמוס דה שליט,2,52,44,10.4
347757-סאדברי ירושלים,ירושלים,העיר ירושלים,יהודי,אסנת עוזיאל,שחר יצחק גרוסמן,1,12,1,2.0
353458-יסודי שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מופיד אבו גוש,2,45,1,2.0
353599-אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,עמיחי רוזנפלד,2,51,32,18.4
362046-רנסנס,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אסמת גחלב,2,49,0,0.0
"368084-בי""ס ע""י אלאספניול",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,סאלי רפידי,1,19,1,2.0
412676-דאר אל חכמה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אברהים דוויק,3,55,0,0.0
417832-חן נריה,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,רוחמה ווגל,2,62,60,14.5
420018-על יסודי צור הדסה,צור הדסה,ירושלים,יהודי,ציפי יעקב,דביר קפלן,6,135,89,6.7
430074-מקור התקווה,ירושלים,העיר ירושלים,יהודי,שמחה שגית קליימן,יואל רוסו,1,9,0,0.0
430355-בית ספר יסודי אלפגר אלגדיד,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,זינב הנדי,2,55,0,0.0
430363-גיל אלמוסתקבל,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ליאלי גומעה,2,35,0,0.0
430439-בית ספר רואא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,מנאר עאבדין,2,42,0,0.0
440412-תיכון מקיף אלראזי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אלאא אלעדרה,3,93,0,0.0
440685-בית שכונת זגיר,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,רבא ארנאוט,2,69,0,0.0
440693-אלראזי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,באסם דוויק,2,68,0,0.0
"440784-ראס אלעמוד ע""ס לבנות",ירושלים,העיר ירושלים,ערבי,רנה ח'לף,אריג' ארנאוט,5,111,21,1.0
"442780-אמי""ת בנות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ליאת כהן וגשל,6,135,119,29.3
442822-ברנקו וייס עין נקובה,מטה יהודה,ירושלים,ערבי,ציפי יעקב,איהאב אלזיאדנה,4,84,62,3.5
442855-הרטמן בנות,ירושלים,העיר ירושלים,יהודי,שרה טוויל,מיכל הרטמן,3,89,57,5.0
"450270-אמי""ת בנים מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ליאור שמעון צ'קוטאי,4,117,94,4.4
460667-אולפנת אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,ורדית כהנא,2,65,64,34.3
477901-מקיף בית חנינה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ליאנא האשם,6,163,31,8.0
478909-בית ספר יסודי נור אל,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,נדאא אבו כף,1,20,0,0.0
"499897-בי""ס אשרקאת אלג'ד",ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מאגדה אבראהים חדר,1,36,0,0.0
511550-אום טובה לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,מחמד אבו טיר,3,97,0,0.0
511618-נווה הראל,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,צפורה זקש,2,46,40,16.0
"511808-בי""ס יסודי מדל איסט",ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ולאא אמבייד,2,30,0,0.0
512343-יסודי אלמסתקבל שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,נג'את עמורה,1,31,0,0.0
512459-הניסויי כפר אדומים,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,נועם שכטר,5,106,29,4.6
512509-קדם,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,אהרון פרידלנדר,2,42,1,5.0
522441-אלפקיה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,רובא מומני,2,66,0,0.0
"540500-ע""ש יצחק נבון מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ענבל לוי,6,181,150,12.6
611871-מבוא חורון בנות,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,אורה קראוז,2,40,31,9.6
615948-ישיבת מקור חיים,ירושלים,העיר ירושלים,יהודי,שרה טוויל,יהונתן גוטמן,3,100,1,5.0
"615955-אח""י תקוע 2",גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,יהונתן אהוביה רוזנק,6,113,63,3.3
"615971-חב""ד בנות",בית שמש,ירושלים,יהודי,מרים ויצמן,חנה אריה,2,32,27,29.9
616151-נווה השחר,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,טליה נחמה שקד,2,64,58,19.0
616508-אלסופרא,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,רובא חשים אבו דייה,3,86,17,1.3
616961-ארתיקאא לשפות,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,מלכה טרביה עזאם,2,36,0,0.0
617019-אשבאל אלקודס,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,מחמד הרבוק,2,49,43,8.8
634840-חיואר,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מנאל דראושה,2,49,11,1.5
634857-אלפא,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,אקרם אבראהים,2,47,0,0.0
641407-אלמתנבי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,עאסם חסונה,4,109,24,7.1
641415-רוואד אלקודס,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,נארימן אלתאג'י,4,113,103,2.2
641464-אבדאע לאומניות.,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,מלחם בדר,3,68,8,1.8
"641480-אולפנת בנ""ע שילה",מטה בנימין,ירושלים,יהודי,יעקב עמר,הדר ברינדל אטון,4,112,78,5.7
"641498-ישיבה תיכונית בנ""ע עלי",מטה בנימין,ירושלים,יהודי,יעקב עמר,עובדיה בן משה,3,65,40,3.4
641522-על יסודי אדם,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,הילה מור,3,54,38,7.2
641563-תיכון דרך,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,יפעת נדב,3,61,53,9.2
641662-תבל תיכון רמות,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גילי סלומון,3,43,37,7.8
645424-ניסוי ארגנטינה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גיל הלר,2,45,3,1.0
645986-בית הספר האמריקאי יר,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אליזבט רייצ'ל אלבום,1,14,0,0.0
650028-אלקימה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,יאסמין בלעום,2,40,0,0.0
650523-אולפנת בית אל,בית אל,ירושלים,יהודי,יעקב עמר,רעות רוחמה טסלר,3,82,66,5.5
668962-אלביאן מקיף,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ראשה ג'בר,2,51,23,3.2
"673822-התיכון הנכו""ן",מטה בנימין,ירושלים,יהודי,ציפי יעקב,רונית ברק,5,134,57,3.2
674564-ב''ס עהדונא,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,פרידה זגייר,1,58,0,0.0
676619-רוואד הטכנולוגי,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,מונה נאבולסי,5,115,0,0.0
"678433-ב""ס אלחסאד",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,אשרף מגאהד,3,104,0,0.0
681288-תיכון לביא,מטה בנימין,ירושלים,יהודי,יעקב עמר,אברהם קימל,2,46,35,3.3
682351-מסע,ירושלים,העיר ירושלים,יהודי,שרה טוויל,-,2,57,30,4.0
715623-מקיף אלסלעה,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ולאא גול,3,88,16,3.9
718924-זו אלנוריין,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,עבדלנאצר סלים,1,28,0,0.0
722298-בית ספר יחיאל,מטה יהודה,ירושלים,יהודי,ליאת אלהרר כהן,יוסף סופר,1,19,0,0.0
725309-בית ספר אלעמליה אלנמ,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מנאל גולאני,2,78,0,0.0
729145-בית ספר דאר אלהודה אלנמודג'יה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,חמזה קיסי,2,64,0,0.0
743369-טרה סנטה בית חנינא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,גורג אבו סעדה,1,16,7,2.3
746313-בית ספר עהדונא,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,-,1,22,0,0.0
746529-בית ספר יסודי אלפארו,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,גאדה בשיתי,2,45,0,0.0
"746735-בי""ס אלמטאר",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,גמאל ג'בארין,3,92,0,0.0
"747345-בי""ס אלמוסתקבל",ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,מלכה אבו עומר,1,32,0,0.0
747360-בית ספר יסודי אלסלאם,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,סלאח יונס,2,58,0,0.0
747402-דאוחת אלאבדאע,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,מואייד אלעוקבי,6,206,0,0.0
754721-דאר אל חכמה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,רים תמימי,3,62,0,0.0
